,BTC,ETH,USDT,BNB,SOL,USDC,XRP,DOGE,TON,ADA,SHIB,AVAX,TRX,DOT,BCH,LINK,NEAR,MATIC,LTC,ICP,LEO,DAI,UNI,RNDR,ETC,FDUSD,HBAR,APT,ATOM,PEPE,MNT,CRO,FIL,XLM,OKB,STX,IMX,KAS,WIF,OP,ARB,TAO,AR,GRT,VET,MKR,XMR,SUI,INJ,THETA,RUNE,FTM,FET,TIA,LDO,FLOKI,BGB,ALGO,CORE,BONK,SEI,JUP,FLOW,ENA,GALA,AAVE,BSV,BEAM,QNT,DYDX,AGIX,BTT,WLD,AKT,FLR,W,CHZ,PENDLE,ONDO,EGLD,NEO,AXS,KCS,SAND,XEC,AIOZ,EOS,STRK,XTZ,JASMY,MINA,RON,CFX,SNX,MANA,ORDI,GNO,GT,CKB,APE,USDD,HNT,AXL,BOME,IOTA,TFUEL,PYTH,KAVA,CAKE,NEXO,KLAY,LUNC,FTT,RBN,BLUR,ROSE,BTG,XAUt,OM,OSMO
2024-05-08,1205202182090.81,357183876075.5,110910426655.82,86810379870.92,63761642429.19,33084070429.8,28633084636.58,20664687283.92,20017494102.13,16137877266.45,13282587762.12,12958850239.19,10752041605.09,10051447985.39,8830993350.46,8160273196.19,7282294493.23,6751964615.62,6082641181.49,5579284266.92,5478068989.84,5347197989.92,4391735542.57,3839509070.63,3990867690.75,3835232565.31,3792061091.6,3679106838.13,3552590431.16,3363114350.99,3287376725.74,3319121138.44,3131419361.61,3105448072.07,3014653718.26,3002482031.73,2974269997.16,2791433288.72,2777724561.42,2697936974.79,2727290921.4,2635556183.99,2446554066.93,2495141604.53,2553476783.57,2493914426.08,2428322766.86,2365164248.79,2175224733.22,2149409544.79,1916404031.55,1853928315.58,1826573142.77,1710792840.39,1653786567.47,1629262145.87,1570936914.56,1525056120.56,1487830145.23,1496637907.62,1461140872.5,1398437799.46,1316283256.01,1328874047.37,1304516750.33,1277421312.45,1225757626.41,1176901600.16,1170248702.6,1178735698.22,1148261662.78,1153123626.14,1107142510.53,1008603949.53,1086868861.27,1091377626.92,1083241482.09,1108100188.52,1067844920.97,1079171435.37,1074174875.93,1042732418.71,984878025.02,976709896.08,930520381.15,832290675.82,896311997.85,896656481.39,903937518.45,884419146.01,876219806.56,876167713.49,828474993.72,836711376.64,815272568.19,786308016.4,782626318.07,744033610.41,768184784.68,733881288.22,730986853.81,724049031.84,722647807.67,729007653.83,706416793.93,704190350.92,721402524.97,708403442.94,688595235.13,692098249.23,629595048.67,602962466.31,641797027.96,602269948.19,589506864.76,597525659.27,591851015.91,569413668.26,570365592.74,561333960.74
2024-05-07,1227659657662.19,361063137871.36,110967225300.14,85229585063.36,66379410042.49,33284681978.25,28984740150.75,21657133655.52,19717608175.93,15755494368.97,13564275462.22,13450562246.61,10555400251.68,10060984694.61,9282004172.84,8226374609.13,7618663812.35,6865442752.47,6021414856.12,5759707693.05,5430662479.83,5348362640.22,4432203036.38,4013429682.17,3983450803.17,3833216388.59,3855873432.11,3763304836.09,3495354082.76,3326512353.98,3400928320.75,3342793206.02,3167141339.67,3127004347.57,3002445996.35,3125534239.54,3150580060.63,2645536585.59,3001423665.23,2791160037.31,2725633820.23,2818167513.56,2477326857.12,2661016535.28,2584139488.44,2600750924.11,2351646294.63,2526817784.68,2310096380.09,2137595566.29,1776273046.05,1892425125.73,1982831294.77,1724929155.0,1758295692.26,1645539153.14,1556741765.32,1554527870.81,1557729056.75,1518350719.26,1463529371.31,1483130702.5,1319855342.04,1394602324.14,1333524372.27,1305657234.97,1247474333.39,1194530640.65,1167386394.11,981473811.62,1240734223.84,1187276535.02,1212007210.47,1087118236.95,1113120070.76,1140654225.3,1121664825.88,1133123518.1,1108009060.5,1057205499.5,1102995128.33,1040986678.23,1003572502.09,981921369.55,950288911.05,885933898.2,893912311.59,898173517.12,906041082.38,901481043.5,911842399.69,886671067.74,833467642.25,859345428.09,819802098.81,790834669.73,796183953.88,752374409.35,769721679.4,748513796.22,731457535.12,790159051.15,783247900.41,587317614.0,709830141.04,693329852.03,752105422.37,710839937.9,678112391.43,710014022.54,630962784.36,597201247.44,543450632.54,648444245.93,605053644.47,617762118.01,616795559.48,570994535.87,582915362.08,576518210.71
2024-05-06,1243984877329.17,367835153604.59,110912135432.84,86851577037.91,68370915818.79,33243428775.28,29857659476.79,22580406986.81,20081414902.23,16196489143.06,14077773502.74,14132482792.92,10385590621.55,10241481591.75,9326198280.88,8514092381.6,7809228152.96,7034188475.87,6018830237.25,5930282869.29,5391390248.22,5348259166.27,4481666708.11,3848970977.44,3967493509.65,3859326086.76,4075752091.8,3853021525.55,3598391602.93,3511394611.84,3405084253.98,3438896648.66,3304629723.88,3177850501.92,3031767659.44,3209185287.31,3155789395.44,2597958552.1,3356407612.48,2896356858.61,2815932949.05,2966260589.06,2602681621.66,2674639831.77,2615256227.41,2576306328.78,2405742632.09,2559246153.3,2389021918.54,2238280397.15,1802597141.99,1952462588.13,2017045753.54,1861243848.83,1730884975.76,1716552167.31,1614679554.28,1579872117.79,1685671051.09,1592939852.77,1515569772.63,1515748272.7,1338302794.97,1272624571.8,1384154334.52,1302729398.97,1251547299.72,1221761609.4,1187045801.17,1018780283.39,1258906173.77,1188771944.62,1224210187.91,1143414922.53,1154659832.26,1163317678.56,1083947404.8,1193643761.27,1153187215.02,1074109195.37,1130640567.41,1055434363.87,1020839305.16,1000592786.86,965204345.1,798273829.85,919175030.76,959273548.11,922094331.48,941860870.85,899566511.87,895003688.23,857504050.88,908699356.41,841296159.02,812704157.29,809089428.9,753936075.25,801257026.14,758577921.66,731446350.94,860821364.37,804301408.94,644472787.33,736871179.27,690985316.61,808346085.15,730363060.95,690559040.9,719475591.52,650404544.95,623445843.31,539509559.31,659388843.69,628352220.15,651490708.3,644693779.02,573522802.35,607300502.6,595323404.84
2024-05-05,1261203911121.78,376807893129.84,110937481132.04,87392373028.9,65197416097.08,33618199267.59,29263355596.12,23221033412.76,20721720600.72,16340709993.25,14569692986.54,14225334506.43,10599560419.62,10506814777.78,9245270871.46,8439845145.2,8013601662.1,7267618666.73,6062317972.78,6024432368.87,5403593816.81,5348583023.85,4548345138.67,3820612553.61,4066499041.48,3856875154.9,3942766938.57,3958382194.4,3649813319.01,3587277511.41,3477620193.9,3519917928.7,3371721081.44,3210014206.33,3082549102.31,3358551257.68,3268068570.15,2542606737.44,3213607038.85,3033854895.28,2843719199.55,3054658492.09,2657378145.01,2786843479.06,2715718687.11,2696323822.44,2477693604.37,2561833083.79,2262411043.63,2243965208.3,1752541835.77,1997815811.82,1999366304.28,1863483180.36,1807088969.68,1798272562.21,1624660055.45,1601185842.17,1735262270.23,1683518692.5,1568922392.21,1440771844.59,1375222222.55,1158622548.41,1406648406.55,1334258327.26,1276043071.5,1256066345.62,1220137551.49,1061113265.36,1247042050.1,1214955648.01,1167574125.81,1192702923.09,1194299184.8,1216406951.46,1080403940.05,1209416108.4,1185200992.9,1120075387.92,1179172223.48,1079650792.14,990310833.66,1020245263.87,989347963.16,826972809.59,925749663.51,994129668.11,946265353.61,984051265.28,936085235.25,904535327.0,915828920.32,931173801.9,854461527.34,843142337.13,820180844.89,760352226.76,832163074.29,764524818.09,732204867.14,888927684.3,824455002.02,598229200.12,740921433.61,715864894.23,837568452.24,751936970.88,711800710.25,727695877.13,666316653.06,656242770.81,491747869.16,663448446.17,645614302.47,659786523.44,670318809.46,566511967.76,613860302.49,603041912.21
2024-05-04,1258304781123.06,374415036159.29,110785799469.53,86463601515.38,65369829237.21,33568625551.24,29297390417.6,23087843480.4,19985329975.68,16527616829.96,14764760249.67,14209596815.48,10705914504.48,10248379987.63,9131689965.51,8406256808.32,7346192659.17,7219281311.26,6085205812.32,6101819020.74,5391514965.16,5348319748.03,4511540598.04,3462792698.85,3959736915.83,3856137193.33,3891300194.32,3904717831.31,3399061864.66,3648747852.99,3428192608.84,3527700258.58,3316107151.68,3211348539.17,3060203717.62,3429839023.89,3248290185.01,2608777741.59,3389898964.47,3012958564.65,2819332234.57,2992565381.77,2347434027.71,2610240786.44,2698439225.87,2657015909.38,2273301169.69,2550452385.14,2302167214.34,2174969859.04,1771530476.68,1943599593.9,1831708462.38,1823982785.58,1842344574.71,1841452628.49,1626453332.93,1570361146.37,1794420546.46,1795130797.23,1580363797.78,1444033330.27,1367732414.8,1179037565.28,1368397625.07,1319074586.02,1280604172.3,1228341661.85,1232247541.28,1005893108.69,1138034742.37,1231718276.17,1032031574.2,1009357004.3,1196179223.24,1309028978.03,1062308733.78,1215688556.18,1120913749.56,1114607129.14,1175456356.8,1071146887.87,983489245.23,1015045135.14,997585878.09,770605896.74,919097874.74,979330482.52,945953398.61,931126347.86,924370949.82,880008839.57,889832207.31,922171604.22,853230720.23,850102255.75,807281149.18,785038939.23,861238986.93,749460508.85,731444827.31,894742615.73,819141315.35,626808479.04,736980338.41,719272340.94,801881627.13,737367092.26,704421484.1,727099391.11,663549215.43,629552597.95,491946786.48,650916697.37,639926977.34,641557741.37,650672137.22,567755443.72,624917409.11,580096482.22
2024-05-03,1238554321094.73,372726130111.2,110666576840.33,86636592245.67,64313630229.63,33410006808.13,29379612126.2,21065548650.16,19775100327.62,16668106100.36,14417006892.12,13506089286.14,10745162019.21,10432468920.68,8931265676.99,8283580553.0,7345237479.12,7254491828.63,6103025935.52,6313817861.61,5426587690.45,5350475030.51,4546996135.85,3189612153.58,3954182842.28,3858245553.78,3982652062.93,3881519326.02,3427993031.18,3399666191.83,3395420027.56,3545408774.52,3310296756.56,3233733185.75,3084234461.04,3453584620.13,3281445784.86,2641460967.97,3104065957.69,2990538966.22,2829060641.76,2852665513.41,2262871743.84,2609357455.77,2709068931.96,2739864902.45,2303668426.75,2602651577.11,2331516476.72,2184779169.29,1785090154.51,1966921596.53,1841709568.84,1838556704.72,1896684454.56,1673975052.27,1611043486.45,1563718841.9,1805943969.59,1774429603.31,1597483344.93,1441224550.26,1369895739.75,1213638879.51,1370962689.46,1315521574.92,1241359726.67,1347061182.51,1280661553.16,1016776033.7,1138058883.47,1213384003.08,1039750021.09,1050095571.25,1211130988.57,1328613876.13,1069806127.66,1201951826.73,1144899018.82,1116113752.83,1169796714.82,1081896563.18,971018370.88,1019468562.28,966534366.09,766745655.55,932483579.19,989108489.51,957287948.56,903996904.88,930432592.63,898008759.03,903062370.78,930153208.44,855631342.12,868011249.51,800911262.99,773890088.12,798322338.9,752751938.28,733081236.89,864618314.59,811364634.84,559913905.21,736561893.94,707529719.07,808476145.28,741206555.12,707201902.04,727068035.75,672030326.06,620844918.13,497525252.66,643850471.55,652663223.66,646424591.04,602520917.78,567772068.76,601459385.69,577949296.44
2024-05-02,1164330817512.3,358849990940.77,110601610981.41,82726793691.91,61649393246.12,33167200644.06,28630396466.77,19040878826.81,17847372190.12,16336361366.97,13458573562.68,12757105722.34,10704437733.87,10475657504.35,8470553558.73,7982102723.66,6504267523.91,7131210030.46,5968160691.75,6259670158.34,5509557446.15,5348635908.37,4261015188.92,3030636355.5,3771112390.51,3910833476.51,3588243427.82,3784668295.32,3382180621.67,3174166065.87,3252441806.21,3406236345.87,3245832121.19,3191145090.07,2931032777.11,3047302301.53,3222210197.92,2519235135.54,2731276409.88,3008845093.66,2733003680.15,2707381586.05,2249447970.97,2381216708.01,2556311927.65,2561684958.32,2270160011.65,2625083519.48,2189328217.58,2045676078.14,1658480944.95,1898665297.79,1698970662.53,1840317033.95,1758658998.6,1570299211.24,1589167945.35,1475659687.58,1833013901.81,1648090675.18,1513793810.46,1374242010.74,1313921794.34,1148560701.76,1304340213.1,1258700212.85,1156381104.31,1304048196.72,1228330198.4,976505052.51,1055697786.62,1175698441.99,936872433.85,993681167.02,1184170962.24,1321120569.98,1048340648.77,1085259993.97,1119183011.69,1068285091.0,1123930720.84,1048501797.53,934185637.19,980479992.22,903840539.62,687906735.66,919117787.97,932911959.86,919384024.88,824276432.45,885197119.72,866790579.26,880382597.21,871533210.86,823100988.98,741948411.16,786980601.41,748450965.36,685264883.47,728904476.77,732985508.8,889360509.9,781220477.0,524316078.63,710366052.84,660917039.89,774189512.35,714572726.26,662087564.46,695023041.97,632887626.32,602133120.3,491194015.26,605821910.92,638508257.25,619720254.42,512453141.6,568902408.37,521390698.27,561820885.13
2024-05-01,1147184157457.92,362491631190.64,110436191578.12,82856934666.81,60206144227.88,32995543712.69,28620531114.48,18754517988.82,16968249125.28,16034635872.78,13349459300.12,12632795008.65,10533385620.41,9897495818.59,8353510734.99,7834393616.16,6562561042.92,6847142259.9,5965889549.2,6117160778.2,5428508264.58,5346577476.06,4215528176.52,2963760930.93,3749650806.78,4186100600.62,3565234879.99,3820241404.18,3417754831.16,2941517659.94,3099347732.46,3398095993.93,3122649493.53,3209754295.18,2922532189.21,3113917155.73,2952703849.12,2565417699.26,2612651666.63,2939260045.37,2735383260.39,2546610582.32,1876857107.58,2307587687.84,2561898054.67,2519616248.7,2277085786.41,2681442969.07,2210477839.19,2037341698.96,1626031199.23,1887318347.5,1709635977.49,1755786230.28,1737829711.79,1519081570.27,1547979720.99,1470860843.49,1708642929.76,1496680034.53,1488557418.82,1288734398.74,1282494473.33,1138224278.54,1277260625.41,1240393620.13,1159350577.28,1246373788.41,1224146573.6,958458855.07,1047556121.3,1142407800.41,934316451.38,962523885.85,1156443692.62,1239207297.35,1035051093.39,1031138503.76,1068887919.29,1040151000.08,1144123354.42,1005866467.06,909225003.5,957424960.95,895582378.18,676352199.11,879440238.02,924908982.49,907367891.84,822874248.58,877328207.21,839721893.61,855110309.93,869316980.27,809103475.45,724953706.41,812062631.16,733968875.31,714982153.24,709468342.49,732582052.69,810453524.92,749817011.88,506171246.62,693189074.17,671806207.81,779476922.12,701578819.61,656842871.32,674771855.56,633418018.15,581107928.68,489974746.62,595198838.73,618735298.74,610196700.14,516192380.21,573556982.97,517705637.37,565411673.84
2024-04-30,1193544962108.24,367513717992.83,110547764414.07,85367327133.52,56808238321.18,33206036195.78,27621396540.7,19212870614.68,17913565899.93,15712031402.85,13193419577.62,12400195405.94,10458537584.36,9234879719.58,8552635760.33,7710679128.87,6597322171.97,6603176708.3,5920910168.21,5957767660.29,5401572512.97,5347235640.9,4212136172.58,2844792452.93,3735518405.27,4188977308.7,3347457720.33,3718701509.72,3309986776.47,2813091228.68,3124454910.41,3569883709.98,3070209993.08,3112925671.27,3060796266.66,3140234727.66,2806542742.06,2586148424.52,2499998037.46,2651092515.49,2712840566.82,2594253304.02,1977184313.1,2241210520.04,2621045402.71,2466131196.01,2200103136.49,1479889779.15,2216698131.1,2018427938.85,1622867398.02,1807162434.71,1718143392.51,1713419473.33,1669525781.46,1496388421.19,1591084594.37,1448977428.99,1707558575.23,1475943939.21,1521349865.38,1244153978.37,1264010298.04,1160425466.83,1251050822.1,1234671737.06,1191798375.11,1233139799.42,1201097883.42,936942976.06,1053562867.88,1183688952.22,908999981.63,950953514.8,1110412875.16,1092255692.94,957710222.68,1008602149.77,1035056116.87,1032588346.6,1199200877.38,969495542.34,925733960.11,943536825.24,917874729.14,661177863.85,854132674.4,888476316.14,896059180.32,833384971.55,870103178.16,830911434.54,854122392.5,868226972.53,795240706.49,717414375.1,812307398.63,732430821.83,722683650.92,706570751.58,704919719.22,846464759.54,686521455.6,491136391.83,688997971.03,663901421.47,776017047.33,699533806.42,663547396.47,669954139.97,634182127.97,578134104.8,446023768.49,601464334.85,585385376.82,604004254.93,533007165.4,565521882.48,520202104.37,557547061.35
2024-04-29,1257121259561.43,392453053426.48,110530678760.54,87494581632.49,61623649856.61,33327731766.83,28470353298.22,20675762384.28,18433419543.75,16301929970.93,14213744983.65,13390881471.32,10421639030.73,9478616983.68,9172050081.91,8262740386.34,7329813649.96,6977024574.95,6220000735.89,6228433418.2,5427491714.74,5349027342.21,4610005562.42,3051218747.37,4049480804.74,4315523784.29,3690169723.25,3889861023.44,3188030157.11,3094015014.55,3403963811.3,3503741974.77,3228231184.03,3239252224.83,3101268459.11,3592544422.35,3058261912.21,2665664207.42,2770720623.66,2610636028.53,2808922281.94,2698484265.81,2362040784.61,2433977393.49,2872556902.69,2627005700.94,2374052321.6,1545769961.12,2416034953.87,2182519535.59,1712713293.34,2008880617.7,1839056401.01,1767013992.57,1955796315.14,1629177217.75,1625513071.49,1552218484.15,1867328821.12,1663484164.21,1780950622.01,1348547815.88,1348528019.74,1323619078.57,1368301535.19,1325487221.69,1290694397.69,1369914896.12,1245820929.29,989522219.31,1132653848.63,1233884699.66,943901031.08,1006372696.94,1160997573.31,1225767705.86,1006091770.53,1163981806.81,1086961206.39,1077737423.99,1349358671.49,1027316228.38,960452953.41,1001939798.17,979738706.76,706913991.53,905087664.54,883410776.51,965845958.04,887306768.22,913694228.84,892103016.21,895444917.26,952177145.19,833874445.91,890587640.55,859517782.19,755190441.83,824240841.33,746879662.81,706159543.13,958206825.19,712408283.99,540839048.53,724897659.71,708716467.18,834967934.25,744686811.79,693392718.28,701181511.18,684760467.41,606241568.76,465760851.71,627003954.56,631693723.28,639372055.33,581397480.02,577133894.32,582774389.35,585667804.45
