,BTC,ETH,USDT,BNB,SOL,USDC,XRP,DOGE,TON,ADA,SHIB,AVAX,TRX,DOT,BCH,LINK,NEAR,MATIC,LTC,ICP
2024-05-07,1227659657662.19,361063137871.36,110967225300.14,85229585063.36,66379410042.49,33284681978.25,28984740150.75,21657133655.52,19717608175.93,15755494368.97,13564275462.22,13450562246.61,10555400251.68,10060984694.61,9282004172.84,8226374609.13,7618663812.35,6865442752.47,6021414856.12,5759707693.05
2024-05-06,1243984877329.17,367835153604.59,110912135432.84,86851577037.91,68370915818.79,33243428775.28,29857659476.79,22580406986.81,20081414902.23,16196489143.06,14077773502.74,14132482792.92,10385590621.55,10241481591.75,9326198280.88,8514092381.6,7809228152.96,7034188475.87,6018830237.25,5930282869.29
2024-05-05,1261203911121.78,376807893129.84,110937481132.04,87392373028.9,65197416097.08,33618199267.59,29263355596.12,23221033412.76,20721720600.72,16340709993.25,14569692986.54,14225334506.43,10599560419.62,10506814777.78,9245270871.46,8439845145.2,8013601662.1,7267618666.73,6062317972.78,6024432368.87
2024-05-04,1258304781123.06,374415036159.29,110785799469.53,86463601515.38,65369829237.21,33568625551.24,29297390417.6,23087843480.4,19985329975.68,16527616829.96,14764760249.67,14209596815.48,10705914504.48,10248379987.63,9131689965.51,8406256808.32,7346192659.17,7219281311.26,6085205812.32,6101819020.74
2024-05-03,1238554321094.73,372726130111.2,110666576840.33,86636592245.67,64313630229.63,33410006808.13,29379612126.2,21065548650.16,19775100327.62,16668106100.36,14417006892.12,13506089286.14,10745162019.21,10432468920.68,8931265676.99,8283580553.0,7345237479.12,7254491828.63,6103025935.52,6313817861.61
2024-05-02,1164330817512.3,358849990940.77,110601610981.41,82726793691.91,61649393246.12,33167200644.06,28630396466.77,19040878826.81,17847372190.12,16336361366.97,13458573562.68,12757105722.34,10704437733.87,10475657504.35,8470553558.73,7982102723.66,6504267523.91,7131210030.46,5968160691.75,6259670158.34
2024-05-01,1147184157457.92,362491631190.64,110436191578.12,82856934666.81,60206144227.88,32995543712.69,28620531114.48,18754517988.82,16968249125.28,16034635872.78,13349459300.12,12632795008.65,10533385620.41,9897495818.59,8353510734.99,7834393616.16,6562561042.92,6847142259.9,5965889549.2,6117160778.2
2024-04-30,1193544962108.24,367513717992.83,110547764414.07,85367327133.52,56808238321.18,33206036195.78,27621396540.7,19212870614.68,17913565899.93,15712031402.85,13193419577.62,12400195405.94,10458537584.36,9234879719.58,8552635760.33,7710679128.87,6597322171.97,6603176708.3,5920910168.21,5957767660.29
2024-04-29,1257121259561.43,392453053426.48,110530678760.54,87494581632.49,61623649856.61,33327731766.83,28470353298.22,20675762384.28,18433419543.75,16301929970.93,14213744983.65,13390881471.32,10421639030.73,9478616983.68,9172050081.91,8262740386.34,7329813649.96,6977024574.95,6220000735.89,6228433418.2
2024-04-28,1242661116273.87,398178669381.67,110535161160.04,88563280489.76,61662678759.52,33500399323.16,28191052606.13,21135925251.49,18830976699.8,16413032574.69,14276435738.23,12842914818.4,10624362092.6,9668232524.12,9270559621.62,8106698746.91,7521368955.49,7141258539.48,6252218877.7,6277654071.77
2024-04-27,1248878755079.36,396940718034.75,110493607097.98,87908360675.53,63177157946.91,33486451871.5,28599777155.06,21280348267.85,18748929096.98,16643886375.23,14598770831.01,13027281872.72,10487486672.32,9776120047.97,9404259205.49,8367425129.29,7608701902.08,7247867914.98,6246724686.69,6155653316.01
2024-04-26,1255299007879.53,381981442515.81,110383482385.08,88214230878.4,62200672194.38,33389487896.49,29060241304.21,21295812473.99,18480116705.22,16488828378.87,14863177196.92,13012009983.25,10512429026.27,9718001475.26,9502836731.83,8501778358.57,7378716432.67,6955912463.94,6552411413.05,6041623885.42
2024-04-25,1269733248757.26,385230800029.64,110445097092.46,90619903052.0,64788385180.06,33354452181.96,28971123639.09,21806112367.4,18783949168.46,16784282077.34,15155896674.27,13457597193.33,10265575776.8,9866269726.69,9429479046.36,8571284000.19,7608920118.84,7132386823.61,6239831318.32,6393878174.45
2024-04-24,1265561280453.39,383182233749.96,110419420574.36,89747074126.44,66048269189.89,33417981492.92,29075334395.1,21798588697.62,19283404029.7,16922579567.77,15124010492.85,13748585495.33,9915747712.03,9961476452.57,9435006250.18,8535367120.9,7330265327.7,6976185356.89,6192479019.34,6349771695.87
2024-04-23,1307512895862.02,392971157421.64,110414385522.12,90742630827.74,69159022995.56,33636596713.91,30053908921.28,23033406225.79,19799571796.34,17822885768.42,15785425228.96,14473083768.87,9920584379.4,10409364718.19,9955059659.8,8921939636.16,7340269201.88,7210899888.39,6336752066.54,6695511767.6
2024-04-22,1315994975669.26,384422319765.72,109876809891.87,90553524995.74,70180765530.1,33797045596.24,30697511364.2,23211181574.71,20599998340.79,18415717586.27,15846293408.61,14827862679.13,9835192412.15,10742404579.62,10285682629.61,9079558156.39,7491897407.14,7351889656.42,6363229310.42,6988515657.86
2024-04-21,1278296008665.19,377899123113.36,109857607038.35,86672374451.13,66417713293.19,33943490879.05,28924955275.71,22786527781.65,21327224325.21,17787002802.59,15492213256.5,14030076553.7,9753379839.57,10246380636.52,9897170531.55,8853689429.99,6866472544.67,7058982115.5,6265925459.96,6991010641.34
2024-04-20,1279569409422.42,379136308856.52,109759499495.14,85377557251.3,67528361463.63,33956406955.41,29179394496.63,23441775958.21,21581111316.98,18022784698.21,15489138310.94,14477550468.9,9733956140.88,10387469982.51,10153884057.43,8785711622.97,6624723585.58,7303859418.8,6334610230.7,7186942071.72
2024-04-19,1257063743135.06,367361791165.13,109540756062.41,82974269405.48,63751797974.9,33903114124.77,27773312845.05,22495513726.99,21092574045.54,16700287924.65,13484139917.96,13124800200.09,9631804996.66,9599819353.11,9396150063.82,8199776124.49,5944747458.41,6665962944.09,6022936155.06,6505329105.54
2024-04-18,1250301972763.52,368135477475.74,109090139732.6,82541734086.52,63485357601.24,33091006374.65,27729001885.51,21943590297.77,22594581709.09,16320308495.54,13423879920.65,13173227895.42,9578468067.37,9738579331.98,9517921127.65,8156611266.44,6083296626.52,6692939294.32,6014493042.39,5910662943.95
2024-04-17,1206240184790.7,358378757749.83,108733311237.82,79912950223.45,58905554117.05,32578893522.33,27275540174.83,21244691163.09,21118245251.91,15825527944.67,13010248171.19,12678482103.1,9615120532.75,9441915972.46,9129942509.06,7711714320.66,5771280014.17,6610235739.88,5967165748.35,5487648258.51
2024-04-16,1256510316191.79,370408021051.68,108151712779.38,80423973838.05,60879101842.83,32602852372.38,27378001119.57,22449237290.64,22012660510.15,16333469942.8,13341922396.72,13138866102.22,9798804422.49,9612910929.6,9598280923.24,7918820230.87,5866001190.89,6957555265.09,5948876163.34,5665811619.55
2024-04-15,1248326445647.25,372352323185.11,107760357386.52,82673531334.2,61857236412.61,32420066998.57,27434770194.95,23221167847.79,22769210062.5,16411336589.82,12914324248.78,13286122238.07,9773736491.76,9627295973.16,10001882010.88,7974542312.27,5569802925.91,7003006449.23,5810668595.35,5713711172.79
2024-04-14,1293922154520.65,379048988304.69,107793416399.18,84818478828.9,67565919330.09,32348682412.93,27794218119.42,23350770292.63,23471360006.06,16700486813.2,13394424974.12,14102314943.28,9867673415.21,9849510928.06,10395152319.52,8289737717.06,6093518583.9,7041457245.07,5947568803.57,5966262456.72
2024-04-13,1256414309701.84,360877472068.23,107497350841.72,82886087552.47,62209618029.83,32253243127.32,26502684973.33,22036954856.81,20646437247.13,15951642727.97,12476849558.98,12878566616.47,9667556709.48,9199770796.9,9480906048.81,7835333634.89,5578409990.03,6477005660.71,5774770201.89,5721654222.69
2024-04-12,1322318848762.9,389383039545.48,107354094570.95,89176723167.54,68514901386.09,31935616298.9,30228432510.71,25119805458.52,23088562414.33,17932457809.46,14622606165.1,14896614422.3,10069446378.4,10377134640.64,10529703913.75,8898790943.1,6147841875.88,7579897359.53,6419405517.05,6453841757.78
2024-04-11,1378806199022.17,420886866941.55,107326815080.98,90452362549.75,76942708222.38,32220562979.21,33519796796.49,27907905521.44,25170046240.94,20872139157.59,16221696338.64,17405817371.95,10554246126.2,12005391840.03,12096009981.14,10303616802.67,7216068460.31,8697578924.6,7343596428.82,7178016993.68
2024-04-10,1388869502130.74,425462971354.56,107190087854.81,91228324889.41,77297959814.53,32136092858.89,33997592690.69,28764441378.01,23504615049.3,20874385528.96,16529357884.67,17879666047.71,10450033362.56,12058214509.89,12394087626.03,10230437120.29,7410691032.95,8785859157.64,7195293080.02,7378889764.28
2024-04-09,1360554169765.49,420865715374.07,107025431320.7,86853573428.02,76842591474.79,32293564267.65,33792048849.68,27182073552.81,23232036900.48,21075226156.19,16185672376.5,17561661567.09,10614935837.23,12400199018.62,13242929705.97,10193662392.45,7648403834.37,8887482112.11,7254284327.04,7426035400.08
2024-04-08,1409529731787.86,443701699932.46,107042435278.03,87762158572.07,80549867853.55,32617140080.75,33883696854.84,29140900781.44,22012836355.88,21868038542.73,16929056131.68,18850572584.38,10785605702.42,12947466022.33,13402549036.73,10626860308.3,7805757699.96,9369036684.68,7686410486.57,8223513391.14
2024-04-07,1364795785582.02,414660162811.1,106892900921.35,87343737468.08,80048604596.75,32937732237.34,32746598127.04,28630071762.69,18637549799.82,20985700840.0,16615244404.5,18662652455.21,10569871350.8,12460056689.44,13484868378.34,10522083648.91,7329154441.05,9026672900.35,7527182093.29,7920622607.63
2024-04-06,1355566990096.02,402735310353.76,106838499488.79,87622624374.73,79602083518.2,32925911206.39,32664351210.18,26735635338.31,19016073684.34,20802283532.42,16189904024.12,18212314790.4,10492250531.65,12152256880.43,13686443494.24,10317827603.66,7440384313.07,8888345947.53,7550922586.63,7875734895.84
2024-04-05,1334713625915.92,399769846956.52,106633571079.41,86575956503.08,77639578798.39,32919343282.91,32344047477.29,25521528630.94,18531466017.07,20462735443.13,15812560080.75,17148234103.71,10344851460.79,11999114075.11,12951603428.66,10184715466.02,7654497803.21,8762466391.25,7293415717.15,7796289185.8
2024-04-04,1347932221575.71,399909422386.95,106189312753.77,87550438558.01,81848676449.44,33021516119.97,32681688461.98,25864876022.38,17670015745.75,20751612270.68,16305885715.82,17570316730.71,10451912789.96,12141207146.14,13161155702.87,10446800769.91,7090891056.56,8966186275.46,7320238346.6,8231753677.07
2024-04-03,1297904385609.21,397608893144.01,105307423190.48,84041883915.81,82401380826.41,32918882204.99,31585963980.4,25233002605.47,17223705027.06,20335916203.55,15535550667.64,17354134051.23,10284784146.11,12056170314.56,11706786687.78,10395558317.74,6966646844.76,8868137794.68,7332098141.59,8246856947.81
2024-04-02,1287439112104.0,393510716982.21,104682659774.24,82346495656.47,80589823339.92,32836983601.29,32166626108.88,26201740917.45,16845913727.92,20678264403.01,15545340029.71,17670902515.71,10235047811.31,12260184558.76,12582692029.43,10546111176.43,6551959091.6,8910783232.61,7945134254.13,8259243259.07
